,id,png,Dice_score,True_Positive,True_Negative,False_Negative,False_Positive,Precision,Recall,Specificity,Overall Accuracy,IoU
85,85,KBY15_IMG_2907-14706.png,0.006690239,28.341179,57091.945,0.05490197,8415.659,0.003356369,0.9980666,0.87153155,0.8715864,0.0033563469
86,86,KBY15_IMG_9405-5301.png,0.007165159,14.372551,61538.586,0.41568634,3982.6277,0.0035958344,0.97189075,0.9392162,0.9392236,0.0035954604
87,87,KBY15_IMG_29070-11970.png,0.0021939508,4.9019613,61072.29,0.71372557,4458.098,0.0010983556,0.872905,0.931969,0.931964,0.00109818
88,88,KBY15_IMG_29412-22914.png,0.0069516944,25.827452,58131.277,0.7215687,7378.173,0.0034883104,0.97282124,0.8873724,0.887407,0.0034879707
89,89,KBY15_IMG_7524-8550.png,0.0072460193,46.31373,52799.094,0.90588236,12689.687,0.0036364421,0.98081553,0.80623114,0.8063569,0.0036361834
90,90,KBY15_IMG_13851-22401.png,0.006829657,4.5725493,64201.547,0.454902,1329.4275,0.003427698,0.90951633,0.979713,0.97970766,0.0034265295
91,91,KBY15_IMG_17955-24624.png,0.0071430192,16.129414,61035.996,1.0039216,4482.8706,0.003585111,0.94140536,0.93157893,0.9315815,0.003584311
92,92,KBY15_IMG_14364-22743.png,0.007383774,4.6784315,64273.46,0.54117656,1257.3215,0.0037071565,0.8963185,0.98081326,0.9808066,0.0037055677
93,93,KBY15_IMG_30951-21717.png,0.006950245,86.0,40874.67,0.3294118,24575.0,0.0034872876,0.99618423,0.62452066,0.62501025,0.003487241
94,94,KBY15_IMG_31806-22230.png,0.0065177735,27.176472,57223.99,0.011764707,8284.824,0.0032695462,0.9995673,0.87353116,0.87358344,0.0032695415
95,95,KBY15_IMG_3933-13167.png,0.007220554,20.270588,59941.58,1.4196081,5572.7295,0.0036242781,0.93455064,0.91493875,0.91494524,0.0036233582
96,96,KBY15_IMG_6669-9918.png,0.0071907532,27.078432,58031.62,1.3803922,7475.922,0.0036090137,0.9514951,0.88587695,0.88590544,0.00360835
97,97,KBY15_IMG_11970-4446.png,3.875321e-11,0.0,65277.957,0.04313726,258.0,0.0,0.0,0.99606323,0.9960626,0.0
98,98,KBY15_IMG_16074-21717.png,0.0066521005,25.764708,57815.426,1.5725491,7693.2354,0.0033378296,0.942476,0.88256156,0.88258654,0.0033371497
99,99,KBY15_IMG_15390-22743.png,0.006715302,20.568626,59430.67,0.3294118,6084.4316,0.0033691442,0.98423713,0.90712935,0.90715396,0.0033689626
100,100,KBY15_IMG_3762-13509.png,0.0043952763,19.72549,56579.957,0.043137256,8936.274,0.002202489,0.99781793,0.86360216,0.86364263,0.0022024782
101,101,KBY15_IMG_14877-22572.png,0.0058203363,26.705883,56385.957,0.043137256,9123.295,0.0029186755,0.99838734,0.86073273,0.8607888,0.0029186618
102,102,KBY15_IMG_3078-17613.png,0.0072410265,6.788235,63667.85,0.14901961,1861.2118,0.003633959,0.9785189,0.9715972,0.9715979,0.0036336689
103,103,KBY15_IMG_12654-21204.png,0.007095562,17.015686,60756.867,0.13333334,4761.9844,0.0035605119,0.99222505,0.9273189,0.92733586,0.0035604124
104,104,KBY15_IMG_10773-10773.png,0.007412353,41.64314,54341.5,1.501961,11151.357,0.0037204623,0.96518815,0.8297317,0.82982093,0.0037199631
105,105,KBY15_IMG_15390-2736.png,0.0072045936,40.3451,54376.52,0.482353,11118.655,0.0036154764,0.9881856,0.83023703,0.83033544,0.00361532
106,106,KBY15_IMG_7353-16074.png,0.007662846,0.003921569,65534.98,0.019607846,0.99607843,0.003921569,0.16666666,0.9999848,0.9999845,0.0038461538
107,107,KBY15_IMG_9918-13338.png,0.00704406,28.866669,57368.836,0.1647059,8138.134,0.0035345496,0.99432665,0.87576693,0.87581944,0.0035344784
108,108,KBY15_IMG_13509-22572.png,0.0049956343,8.133333,62287.957,0.04313726,3239.8667,0.002504105,0.9947242,0.9505574,0.9505629,0.0025040717
109,109,KBY15_IMG_29241-12825.png,0.007217569,39.854904,54531.996,0.003921569,10964.1455,0.003621856,0.9999016,0.8325986,0.8327004,0.0036218548
110,110,KBY15_IMG_9918-3762.png,0.0072717075,8.431374,63225.477,0.52156866,2301.5688,0.003649945,0.9417434,0.964876,0.96487284,0.0036491212
111,111,KBY15_IMG_7353-17100.png,1.2749997e-07,0.0,65535.92,0.07843138,0.0,nan,0.0,1.0,0.9999988,0.0
112,112,KBY15_IMG_15048-3591.png,5.0750307e-11,0.0,65338.957,0.043137256,197.0,0.0,0.0,0.996994,0.99699336,0.0
113,113,KBY15_IMG_28044-12312.png,0.0066139176,2.247059,64858.754,0.24705884,674.753,0.0033191417,0.9009434,0.98970366,0.9897003,0.0033179307
114,114,KBY15_IMG_12825-21888.png,0.007722702,0.16862747,65492.5,0.5019609,42.83137,0.003921569,0.25146195,0.99934644,0.9993388,0.003876319
115,115,KBY15_IMG_30438-23940.png,0.007402285,3.1058826,64699.938,0.0627451,832.89417,0.0037151703,0.980198,0.98729044,0.9872901,0.0037148916
116,116,KBY15_IMG_29070-12483.png,0.007200143,62.2,48320.766,0.23529415,17152.8,0.003613128,0.9962314,0.73801947,0.73826545,0.0036130785
117,117,KBY15_IMG_17955-25650.png,0.0072894,15.643138,61259.62,0.3803922,4260.3574,0.0036583573,0.97626036,0.9349762,0.93498623,0.003658032
118,118,KBY15_IMG_20349-15561.png,0.0072411424,22.24706,59413.62,0.3803922,6099.7534,0.0036339527,0.9831889,0.906893,0.90691936,0.003633727
119,119,KBY15_IMG_12825-10602.png,0.0072675673,13.396079,61862.86,0.14117649,3659.6042,0.003647176,0.9895713,0.9441473,0.9441567,0.003647036
120,120,KBY15_IMG_14364-3420.png,0.007108452,2.3294117,64882.938,0.0627451,650.6706,0.0035672463,0.9737705,0.9900712,0.9900706,0.0035669035
121,121,KBY15_IMG_29070-12996.png,0.007775799,0.09411766,65511.887,0.1137255,23.905882,0.003921569,0.4528302,0.9996352,0.9996335,0.003903074
122,122,KBY15_IMG_7524-9063.png,0.007692163,6.4117646,63875.32,0.67843145,1653.5883,0.0038625088,0.90431416,0.9747655,0.97475785,0.0038609307
123,123,KBY15_IMG_32490-23256.png,0.0074656233,26.521568,58457.54,3.4627454,7048.4785,0.0037486316,0.88451475,0.89239955,0.892396,0.0037467976
124,124,KBY15_IMG_28386-22059.png,0.0072886967,13.160786,61937.875,0.1254902,3584.8394,0.0036578057,0.9905549,0.9452886,0.9452978,0.0036576781
125,125,KBY15_IMG_22914-9405.png,0.0075024487,13.835295,61861.63,0.3725491,3660.1648,0.0037657307,0.9737786,0.9441382,0.94414467,0.0037653488
126,126,KBY15_IMG_27360-27189.png,0.0074429708,1.027451,65260.94,0.058823537,273.97256,0.0037361851,0.94584835,0.99581945,0.9958186,0.0037353863
127,127,KBY15_IMG_31977-22230.png,0.0076168403,15.976471,61356.938,0.06274511,4163.0234,0.0038230368,0.99608797,0.93646175,0.93647635,0.0038229798
128,128,KBY15_IMG_24624-17955.png,0.0058574146,19.125492,59024.773,1.2274511,6490.8745,0.0029378636,0.9396917,0.90092635,0.9009384,0.0029373097
129,129,KBY15_IMG_13338-21888.png,0.007334279,6.4196076,63791.844,0.15686277,1737.5804,0.0036809677,0.9761479,0.9734839,0.9734842,0.0036806366
130,130,KBY15_IMG_12996-21375.png,0.006657584,10.741177,62319.992,0.007843138,3205.2588,0.003339918,0.9992704,0.9510836,0.9510915,0.00333991
131,131,KBY15_IMG_28728-11457.png,0.0072615496,13.035294,61958.812,0.18823531,3563.9648,0.003644197,0.9857651,0.94560724,0.94561535,0.0036440052
132,132,KBY15_IMG_12483-21033.png,0.0067889574,7.980393,63192.99,0.011764707,2335.0198,0.0034060571,0.998528,0.9643661,0.96437025,0.0034060401
133,133,KBY15_IMG_11115-10773.png,0.0049402756,7.3764706,62557.117,1.8823532,2969.6235,0.00247782,0.7966963,0.95468074,0.9546584,0.0024762545
134,134,KBY15_IMG_11115-4446.png,0.006827213,13.266667,61662.86,0.14117648,3859.7334,0.003425424,0.9894706,0.9410931,0.941103,0.003425299
135,135,KBY15_IMG_7866-16758.png,0.0061705695,16.941177,60061.98,0.019607846,5457.0596,0.0030948436,0.99884397,0.9167103,0.9167316,0.0030948326
